code:ID,name,:LABEL
600007,中国国贸,Stock
600114,东睦股份,Stock
600132,重庆啤酒,Stock
600182,S佳通,Stock
600595,中孚实业,Stock
600641,万业企业,Stock
600779,水井坊,Stock
600801,华新水泥,Stock
600819,耀皮玻璃,Stock
000001,平安银行,Stock
000005,世纪星源,Stock
000541,佛山照明,Stock
000608,阳光股份,Stock
000659,*ST中富,ST;Stock
000869,张 裕Ａ,Stock
000895,双汇发展,Stock
000932,*ST华菱,ST;Stock
000935,四川双马,Stock
002032,苏 泊 尔,Stock
002047,宝鹰股份,Stock
600023,浙能电力,Stock
600089,特变电工,Stock
600202,哈空调,Stock
600226,瀚叶股份,Stock
600269,赣粤高速,Stock
600292,远达环保,Stock
600307,酒钢宏兴,Stock
600328,兰太实业,Stock
600416,湘电股份,Stock
600483,福能股份,Stock
600516,方大炭素,Stock
600550,保变电气,Stock
600558,大西洋,Stock
600622,光大嘉宝,Stock
600642,申能股份,Stock
600848,上海临港,Stock
600875,东方电气,Stock
600973,宝胜股份,Stock
601106,*ST一重,ST;Stock
601179,中国西电,Stock
601369,陕鼓动力,Stock
601611,中国核建,Stock
601727,上海电气,Stock
601877,正泰电器,Stock
601985,中国核电,Stock
601991,大唐发电,Stock
603100,川仪股份,Stock
603169,兰石重装,Stock
603308,应流股份,Stock
603699,纽威股份,Stock
000777,中核科技,Stock
000825,太钢不锈,Stock
000881,中广核技,Stock
000883,湖北能源,Stock
000899,赣能股份,Stock
000922,*ST佳电,ST;Stock
000967,盈峰环境,Stock
000969,安泰科技,Stock
000993,闽东电力,Stock
002011,盾安环境,Stock
002058,威 尔 泰,Stock
002130,沃尔核材,Stock
002149,西部材料,Stock
002167,东方锆业,Stock
002212,南洋股份,Stock
002227,奥 特 迅,Stock
002248,*ST东数,ST;Stock
002255,海陆重工,Stock
002266,浙富控股,Stock
002276,万马股份,Stock
002318,久立特材,Stock
002364,中恒电气,Stock
002366,台海核电,Stock
002438,江苏神通,Stock
002478,常宝股份,Stock
002534,杭锅股份,Stock
002564,天沃科技,Stock
002665,首航节能,Stock
300004,南风股份,Stock
300084,海默科技,Stock
300092,科新机电,Stock
300153,科泰电源,Stock
300185,通裕重工,Stock
300411,金盾股份,Stock
300489,中飞股份,Stock
600209,罗顿发展,Stock
600515,海航基础,Stock
600759,洲际油气,Stock
600896,览海投资,Stock
601118,海南橡胶,Stock
000099,中信海直,Stock
000505,珠江控股,Stock
000566,海南海药,Stock
000567,海德股份,Stock
000613,*ST东海A,ST;Stock
000691,亚太实业,Stock
000735,罗 牛 山,Stock
000886,海南高速,Stock
002320,海峡股份,Stock
002596,海南瑞泽,Stock
600071,凤凰光学,Stock
600271,航天信息,Stock
600288,大恒科技,Stock
600602,云赛智联,Stock
601933,永辉超市,Stock
000061,农 产 品,Stock
000530,大冷股份,Stock
000701,厦门信达,Stock
000997,新 大 陆,Stock
002030,达安基因,Stock
002161,远 望 谷,Stock
002299,圣农发展,Stock
002477,雏鹰农牧,Stock
002512,达华智能,Stock
002637,赞宇科技,Stock
300012,华测检测,Stock
300020,银江股份,Stock
300165,天瑞仪器,Stock
300203,聚光科技,Stock
300260,新莱应材,Stock
300271,华宇软件,Stock
300306,远方信息,Stock
600067,冠城大通,Stock
600076,康欣新材,Stock
600096,云天化,Stock
600110,诺德股份,Stock
600111,北方稀土,Stock
600135,乐凯胶片,Stock
600139,西部资源,Stock
600175,美都能源,Stock
600192,长城电工,Stock
600210,紫江企业,Stock
600212,江泉实业,Stock
600232,金鹰股份,Stock
600241,时代万恒,Stock
600255,梦舟股份,Stock
600273,嘉化能源,Stock
600336,澳柯玛,Stock
600367,红星发展,Stock
600390,五矿资本,Stock
600405,动力源,Stock
600470,六国化工,Stock
600478,科力远,Stock
600482,中国动力,Stock
600499,科达洁能,Stock
600522,中天科技,Stock
600549,厦门钨业,Stock
600580,卧龙电气,Stock
600773,西藏城投,Stock
600854,春兰股份,Stock
600869,智慧能源,Stock
600872,中炬高新,Stock
600884,杉杉股份,Stock
601012,隆基股份,Stock
601168,西部矿业,Stock
601311,骆驼股份,Stock
603026,石大胜华,Stock
603077,和邦生物,Stock
000009,中国宝安,Stock
000049,德赛电池,Stock
000413,东旭光电,Stock
000559,万向钱潮,Stock
000571,新大洲Ａ,Stock
000636,风华高科,Stock
000733,振华科技,Stock
000760,斯太尔,Stock
000762,西藏矿业,Stock
000839,中信国安,Stock
000913,钱江摩托,Stock
000962,东方钽业,Stock
000973,佛塑科技,Stock
002012,凯恩股份,Stock
002045,国光电器,Stock
002056,横店东磁,Stock
002057,中钢天源,Stock
002070,*ST众和,ST;Stock
002074,国轩高科,Stock
002077,大港股份,Stock
002080,中材科技,Stock
002085,万丰奥威,Stock
002091,江苏国泰,Stock
002108,沧州明珠,Stock
002121,科陆电子,Stock
002139,拓邦股份,Stock
002165,红 宝 丽,Stock
002171,楚江新材,Stock
002176,江特电机,Stock
002190,成飞集成,Stock
002192,融捷股份,Stock
002206,海 利 得,Stock
002240,威华股份,Stock
002263,大 东 南,Stock
002340,格林美,Stock
002341,新纶科技,Stock
002389,南洋科技,Stock
002407,多氟多,Stock
002411,必康股份,Stock
002426,胜利精密,Stock
002427,尤夫股份,Stock
002455,百川股份,Stock
002460,赣锋锂业,Stock
002466,天齐锂业,Stock
002491,通鼎互联,Stock
002497,雅化集团,Stock
002580,圣阳股份,Stock
002594,比亚迪,Stock
002617,露笑科技,Stock
002631,德尔未来,Stock
002632,道明光学,Stock
002684,猛狮科技,Stock
002709,天赐材料,Stock
002723,金莱特,Stock
002733,雄韬股份,Stock
002759,天际股份,Stock
300014,亿纬锂能,Stock
300035,中科电气,Stock
300037,新宙邦,Stock
300068,南都电源,Stock
300073,当升科技,Stock
300080,易成新能,Stock
300082,奥克股份,Stock
300116,坚瑞沃能,Stock
300207,欣旺达,Stock
300317,珈伟股份,Stock
300340,科恒股份,Stock
300432,富临精工,Stock
300438,鹏辉能源,Stock
300444,双杰电气,Stock
300450,先导智能,Stock
300457,赢合科技,Stock
300568,星源材质,Stock
600122,宏图高科,Stock
600198,大唐电信,Stock
600410,华胜天成,Stock
600485,信威集团,Stock
600498,烽火通信,Stock
600728,佳都科技,Stock
600770,综艺股份,Stock
600797,浙大网新,Stock
000063,中兴通讯,Stock
000532,华金资本,Stock
000851,高鸿股份,Stock
000890,法 尔 胜,Stock
000938,紫光股份,Stock
002089,新 海 宜,Stock
002095,生 意 宝,Stock
002268,卫 士 通,Stock
002315,焦点科技,Stock
002396,星网锐捷,Stock
002439,启明星辰,Stock
002544,杰赛科技,Stock
300017,网宿科技,Stock
300047,天源迪科,Stock
300051,三五互联,Stock
300113,顺网科技,Stock
600036,招商银行,Stock
600570,恒生电子,Stock
600999,招商证券,Stock
000002,万 科Ａ,Stock
000006,深振业Ａ,Stock
000011,深物业A,Stock
000012,南 玻Ａ,Stock
000014,沙河股份,Stock
000016,深康佳Ａ,Stock
000020,深华发Ａ,Stock
000023,深天地Ａ,Stock
000024,招商地产,Stock
000025,特 力Ａ,Stock
000031,中粮地产,Stock
000032,深桑达Ａ,Stock
000033,新都退,Stock
000036,华联控股,Stock
000039,中集集团,Stock
000042,中洲控股,Stock
000046,泛海控股,Stock
000069,华侨城Ａ,Stock
000089,深圳机场,Stock
000090,天健集团,Stock
002138,顺络电子,Stock
002168,深圳惠程,Stock
002183,怡 亚 通,Stock
002294,信立泰,Stock
002336,人人乐,Stock
002416,爱施德,Stock
600059,古越龙山,Stock
600138,中青旅,Stock
600177,雅戈尔,Stock
600251,冠农股份,Stock
600280,中央商场,Stock
600306,商业城,Stock
600319,亚星化学,Stock
600327,大东方,Stock
600436,片仔癀,Stock
600594,益佰制药,Stock
600640,号百控股,Stock
600645,中源协和,Stock
600729,重庆百货,Stock
600757,长江传媒,Stock
600827,百联股份,Stock
600859,王府井,Stock
600978,宜华生活,Stock
600998,九州通,Stock
601010,文峰股份,Stock
601801,皖新传媒,Stock
603001,奥康国际,Stock
603008,喜临门,Stock
603369,今世缘,Stock
603558,健盛集团,Stock
603898,好莱客,Stock
000100,TCL 集团,Stock
000529,广弘控股,Stock
000564,供销大集,Stock
000759,中百集团,Stock
000785,武汉中商,Stock
000826,启迪桑德,Stock
000861,海印股份,Stock
000882,华联股份,Stock
000887,中鼎股份,Stock
002005,德豪润达,Stock
002024,苏宁云商,Stock
002029,七 匹 狼,Stock
002069,獐子岛,Stock
002081,金 螳 螂,Stock
002215,诺 普 信,Stock
002251,步 步 高,Stock
002264,新 华 都,Stock
002269,美邦服饰,Stock
002271,东方雨虹,Stock
002277,友阿股份,Stock
002291,星期六,Stock
002293,罗莱生活,Stock
002310,东方园林,Stock
002327,富安娜,Stock
002344,海宁皮城,Stock
002345,潮宏基,Stock
002397,梦洁股份,Stock
002419,天虹股份,Stock
002425,凯撒文化,Stock
002444,巨星科技,Stock
002488,金固股份,Stock
002503,搜于特,Stock
002538,司尔特,Stock
002561,徐家汇,Stock
002563,森马服饰,Stock
002607,亚夏汽车,Stock
002656,摩登大道,Stock
002697,红旗连锁,Stock
300005,探路者,Stock
300027,华谊兄弟,Stock
300085,银之杰,Stock
300131,英唐智控,Stock
300177,中海达,Stock
300205,天喻信息,Stock
300220,金运激光,Stock
300232,洲明科技,Stock
300244,迪安诊断,Stock
300267,尔康制药,Stock
600143,金发科技,Stock
600146,商赢环球,Stock
600346,恒力股份,Stock
600458,时代新材,Stock
600688,上海石化,Stock
601208,东材科技,Stock
000420,吉林化纤,Stock
000687,华讯方舟,Stock
000928,中钢国际,Stock
002006,精功科技,Stock
002019,亿帆医药,Stock
002048,宁波华翔,Stock
002254,泰和新材,Stock
002297,博云新材,Stock
300095,华伍股份,Stock
600017,日照港,Stock
600060,海信电器,Stock
600190,锦州港,Stock
600229,城市传媒,Stock
600690,青岛海尔,Stock
600735,新华锦,Stock
601000,唐山港,Stock
601008,连云港,Stock
000416,民生控股,Stock
000599,青岛双星,Stock
000739,普洛药业,Stock
002073,软控股份,Stock
002094,青岛金王,Stock
002498,汉缆股份,Stock
002537,海联金汇,Stock
